Title,SubTitle,Rating,ItemPrice,TrendingPrice,ItemLink
VIOTEK GNV27DB 27-Inch Curved QHD Gaming Monitor 144Hz 2560x1440p 4.8ms FreeSync, Brand New,5.0 out of 5 stars.,$249.99,,https://www.ebay.com/itm/VIOTEK-GNV27DB-27-Inch-Curved-QHD-Gaming-Monitor-144Hz-2560x1440p-4-8ms-FreeSync/313043539085?epid=15037773538&hash=item48e2d9548d:g:uR4AAOSwIYdehE57
"VIOTEK GNV34DB 34"" Ultrawide Curved Gaming Monitor VA Panel 100Hz 1440p FreeSync", Brand New,5.0 out of 5 stars.,,$379.99,https://www.ebay.com/itm/VIOTEK-GNV34DB-34-Ultrawide-Curved-Gaming-Monitor-VA-Panel-100Hz-1440p-FreeSync/233365292748?epid=14038157705&hash=item3655a7c6cc:g:s3IAAOSwEtNdnuzw
"Samsung Curved FreeSync Monitor 4ms Response Time 24"" LC24F390FHNXZA 60Hz", Pre-Owned,4.5 out of 5 stars.,$113.99,,https://www.ebay.com/itm/Samsung-Curved-FreeSync-Monitor-4ms-Response-Time-24-LC24F390FHNXZA-60Hz/324486583003?epid=28026727205&hash=item4b8ce852db:g:GbwAAOSwgulgKYr3
"MSI Optix G24C 24"" FHD 1920x1080 1ms 144hz AMD FreeSync Curved Gaming Monitor", Refurbished,4.5 out of 5 stars.,$169.98,,https://www.ebay.com/itm/MSI-Optix-G24C-24-FHD-1920x1080-1ms-144hz-AMD-FreeSync-Curved-Gaming-Monitor/324488665981?epid=26021689746&hash=item4b8d081b7d:g:H50AAOSw4oBgLAuL
"Deco Gear 34"" Curved Gaming Monitor 2560x1080, HDR400, 3000:1, 1ms MPRT, 200Hz",Authorized Deco Gear Dealer w USA Warranty! Ships Fast! Brand New,5.0 out of 5 stars.,$399.99,$499.95,https://www.ebay.com/itm/Deco-Gear-34-Curved-Gaming-Monitor-2560x1080-HDR400-3000-1-1ms-MPRT-200Hz/313298803540?epid=19042774462&_trkparms=ispr%3D1&hash=item48f2105b54:g:qRcAAOSwJ4ZfrqnI&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkRjLZq23gAR%252BKma9gM2Z1hlgooR%252Bm%252BCrbvmlXDwHO7X37aX4dN1hE3du7eUshgdkZPDdcwyFWUs2R3LoTmTAaNY%252FQUCrIgXW8KaaaOhdcXsJT6dA88LYcqrTHBfs3zdOg3mI35fbBlZtgBiIHaWlT3LRryoR6%252Bi%252BJvsDiDHKdkUG2EVv5yen3Ikhp%252F6aj2Y4TkzDTXq1FyhYNhgg1tdcOhQjcPbBBX8DE6oa9RtImvJVew263cejIZEqpyKkPjuejNuoCnhARidPu%252BuHEj%252Bw9Gv7Ge3sk0%252BBAnAsckwKE4YyGqf0tvvlhdeh35l75ZNOjpN5FNgTV1jbHAEkhd1isQCbMZlDw%252FeZTnBnIQvYHqDvwaixQv4SIHRpYJC6XmaxwaxYo6eAtvX4c3HSmrNj5RHnktuE0KHWme37TbzIlDZw1UrUWEQ3NBa24JsbIJTJr28QIM%252B0vvnN68qZbHDUfzuSQxEZfEUQEMSeb1kvH6BYW75DY9xP7sf76HYvlxkhpiJBnYGJG3Vbm%252BR8x%252FHl13EuhYZynXqVfiZPX76qyLNxpu0n4rM8po2ZuL%252F9c6mme5uULq8DZRiyeZ%252B1E4kmgMh6%252FcaALSDhz2%252FBx4gQT3wMOKtGMnnOgay5uX1bQDz0meljgyF8smvWk9%252F%252Bd3xIL01Cazb%252BHlMo4r5p%252Bd82uPYKWTeqDM17oCxVvGTFGpuAtDjV49FbLBJD5kcbkfc6j7fGDuwgMGf44lcbmQg0fGlqb0lfXlU%252BZmb%252BUSgZ4MOEDjYVdMq7Mk5SlX9hxScYM3A%253D%253D%7Ccksum%3A3132988035403d1abf4562f1424f9b979262f164c546%7Campid%3APL_CLK%7Cclp%3A2334524
"VIOTEK 49"" Super Ultrawide 32:9 Curved Monitor 144Hz 3840x1080p w/Speaker SUW49C", Brand New,5.0 out of 5 stars.,,$759.99,https://www.ebay.com/itm/VIOTEK-49-Super-Ultrawide-32-9-Curved-Monitor-144Hz-3840x1080p-w-Speaker-SUW49C/233185136983?epid=16027561172&_trkparms=ispr%3D1&hash=item364aead157:g:xqAAAOSw5eBcoaoK&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkai8xCwosGKpC0NWj85e%252FBzevtrlAFSLjNPBiACjPOv%252FF7JRJCpbzudpQi%252BQ10UGdl0sfaQTohomSMGdbLB1wSARstyt8kl6RPzpk3k%252F1fgR9mYJ1M4Fxg6qgj9QEwykDlbztbPUbux1lg%252BVz%252FCOyjV3N1O0PQRm2t2DF9%252BFWe2TWPYY2oNNxghHaqz3S7dbfmlvTFsFe6r3qO1sxk0G8IC7EyK2qXMeZ75id36boy1N1DmJccCndSB24OvDMh%252FpcZHhjT8ggVtRmGm%252FAWo%252Bh1sX3gRDewhTbrmLH56v0qbTmgav%252FBSZPIuL34gq%252BEp1pJaVMp2BsSPVpH31dobyfpOnYMbqrkl79izRz%252FOOap1cnILQajLZDg6lhInWFJ9cqwqXfI%252BGwVDC4L0vgD7sgFFkcEULwYoUNW5jKwW4rsTHn%252FugbY%252B1NNuB4hVIBqsn6g42hC0ij4d2Vg5RuO4aG1x1VRKhi6LsibZc4Z6u0CO3jrUv0HJdWPac%252F6g5ntVoyMGH3UrWMAD%252Fr4FwQVhxDJNPYsDzi5Tm8E56CbMLvfYtATtb23dydLm7ixo7l11pWEfm0r1M1hVZVNCgjnojQaCCt34K3ge0Z5iVhcOmXPpqPu6mLIY78Tsqu2o6NuMxwOngPyJbm5buth%252F8tQJjBEHKzEpPmW6w4IIUL%252B0i9MKmJ8CsId4oYg3EweibsgEfgI1lbOcK2twFGj%252FrV0l8xgSAvvKyyZ5WyoeLf9wLREoYllkTBLgWnwClXtwuycovJWJfGTbCeKh0cstIcZpC5yg%253D%253D%7Ccksum%3A2331851369833d1abf4562f1424f9b979262f164c546%7Campid%3APL_CLK%7Cclp%3A2334524
VIOTEK GNV34DBE 34-Inch 144Hz Curved Gaming Monitor UWQHD G-Sync-Ready FreeSync, Brand New,5.0 out of 5 stars.,$399.99,,https://www.ebay.com/itm/VIOTEK-GNV34DBE-34-Inch-144Hz-Curved-Gaming-Monitor-UWQHD-G-Sync-Ready-FreeSync/313043429932?epid=16037771190&_trkparms=ispr%3D1&hash=item48e2d7aa2c:g:43AAAOSwtQBe9~GD&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkRjLZq23gAR%252BKma9gM2Z1hmIBoDREuPUlHvJcLCdXpEBVMs5iW4aqEVSjd2jcMj2hJEpEJoolnslXKfT8cILw9Rn7leE7NgsJU5jFaJdRKMEVQxc1iv9sJBIx7vSz9ruACTaKKXyuJvscPMDmrV%252B20XB%252FGk9sqsPmhsjSK4dhXJS7tDbTnJ4wXMejowV7E79PlJ9W%252FOXL%252F%252B6lW7Y%252Bot5QMhPg0S9l0CMqy08zhLIKDZjK1x7xQ677LfieKgeU%252FiwPhKzlnMKgkkqDwDJFDLyP5b0yf3ckQf%252BnvtmEjOqEJnFhFo5PRe7kbgrmS3BPQahwsH40URkp5B%252Fi28KVZi96V1vLaD33MH5udL8O6Gr%252BjRGBE%252Byg4PC%252Bd36Kz%252FEeGqOjFVslcmsiwXavdVOWK6KBF2%252Bw%252B5JFPBfTBIV%252Fbv4a78gQwpOLktSybV1Im75xvd7qwPTG2eZCNFhvCBAcM90N313IyZKxKV5BRQC51i3DT2AQv3vQ4pDxXNYRb%252BzEJ89zrlf8tNcDYu3Mz37j3hHLxTmwZELEVIBPt7C2BCo5OMf%252Fv212eEcWEYXU8FSSQ1ZXTF6rGNUuMLNyDeKW516RKtaKrUMbFuXTHYBPpHZLPBuYuVacohKxkw3Ang9Y5ndCLEFciBDzU1kKcSGq1MnLrnOs%252FSLw5sYB5k9dqWYjhyVtcdeU2grlBhde6S4saqmN8dz25oze8lGtc%252FXMCzyPfQ3bF82J8gUFqmYtBloudRAmtQADyyeYg%252BXrcSgXmQhBT8f4FCDUCA5pFzC4GdjSuQ%253D%253D%7Ccksum%3A3130434299323d1abf4562f1424f9b979262f164c546%7Campid%3APL_CLK%7Cclp%3A2334524
"Samsung CF396 27"" Curved LED Monitor Super Slim Design (LC27F396FHNXZA)™", Open Box,4.5 out of 5 stars.,$175.00,,https://www.ebay.com/itm/Samsung-CF396-27-Curved-LED-Monitor-Super-Slim-Design-LC27F396FHNXZA/333856471688?epid=224719905&_trkparms=ispr%3D1&hash=item4dbb657a88:g:jmAAAOSwGvZf~yBv&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkCrLl8erj3ATP5raQxjc%252F%252B6ySjX2fEifM8IRbIJzJssJO9UkN3oanGXUNUbwPhDwHIrLPEjbL3LerszMu6TgIODtxvltIxYCyXKc4ISND1pxP9qkuJCEt%252Bx5ZDBPz%252B5FhHB%252BYpRfvbbQZBnDKAORUxSEBO1YvpkZnjMVtTq5iRpMrV2PZdV1UhBZZcm41nJ%252F0NgGIUJXEO4O5QP96DID3o3bfyN1S5AUwxjpHYWpZrEVIqmmyMVer6TsqXsOyOz0FfR1%252BuUN9zI5qzGnHoAR3TOVTbz8w3d9dk94ISoTB9xfV3%252FcdS%252FKqBMWrRnJH34pMwtHh%252ByxQof6nliiT5C5k12mjm%252F3GwZ6QIHwIgGPYKsQ7JCGrOAYh6wqzklRYpNMiXdGdECJDAQwqpQkGbe953hc0WXjHLo0T02tSr1nR73Z4JUZ30zjXXK5leBYj8hH%252Fi6XQ9a%252BrAsTwCpjhI2xP6385bNLf%252FzaHfwYET7GVoWwaIWhNs0ZHeyk1%252F4Gb8uGaHF71W1p2FuiyBD%252BJ5vr8o%252F7R5II79%252FSHvHXqg7uIS3JDwNZbEt3e5dxauQON15ImrcsPD46%252Fq%252BlHzqPnXHh%252BZTjHKwwpxRZlbaNq0USMFe6ByWBqrcEf1nM402iSd%252F%252BWepZQmvbF%252BHPoP4e3UOVhfKaIHNF8uNbEAkKyG1Tmdw9yCLlUUWQPHchHlMv%252BC2PXQNJugvRCncUCTRK84kBZUMyigEm7zyntEXZPRVytaDGmtorIod1lB0cd3CPLxwVHFAmzLAX97KVQJNcHttmfPQ%253D%253D%7Ccksum%3A3338564716883d1abf4562f1424f9b979262f164c546%7Campid%3APL_CLK%7Cclp%3A2334524
"SAMSUNG 27"" Curved Monitor 1920x1080 VGA HDMI 60hz 4ms LC27F396FHNXZA ( CF396 )", Open Box,4.5 out of 5 stars.,$159.99,,https://www.ebay.com/itm/SAMSUNG-27-Curved-Monitor-1920x1080-VGA-HDMI-60hz-4ms-LC27F396FHNXZA-CF396/264930618222?epid=224719905&hash=item3daf186b6e:g:VA8AAOSwhnZfqFOc
"Samsung 32"" Curved 1920x1080 HDMI 60hz 4ms FHD LCD Monitor- Black", Open Box,,$199.00,,https://www.ebay.com/itm/Samsung-32-Curved-1920x1080-HDMI-60hz-4ms-FHD-LCD-Monitor-Black/333897040776?hash=item4dbdd08388:g:-z8AAOSwqehe-RWM
